,VICTIMA_PERUANA,EDAD_VICTIMA,VICTIMA_GESTANDO,N_HIJOS,ESTADO_CIVIL_VICTIMA,ESTUDIA,TRABAJA_VICTIMA,TIENE_SEGURO,DIST_DOMICILIO
6541,1,51,0,0,1,0,0,1,Carabayllo
6542,1,64,0,0,1,0,0,1,Carabayllo
6543,1,19,1,0,1,0,0,1,Carabayllo
6544,1,21,0,0,1,0,1,1,Carabayllo
6547,1,16,0,0,1,1,0,1,Carabayllo
6548,1,13,0,0,1,1,0,1,Carabayllo
6552,1,19,0,0,1,0,0,1,Comas
6553,1,27,0,1,1,0,1,1,Carabayllo
6554,1,10,0,0,1,0,0,1,Carabayllo
6557,1,46,0,1,1,0,0,1,Carabayllo
6558,1,7,0,0,1,0,0,1,Carabayllo
6559,1,15,0,0,1,1,0,1,Carabayllo
6560,1,15,0,0,1,1,0,1,Carabayllo
6561,1,15,0,0,1,1,0,1,Carabayllo
6562,1,15,0,0,1,1,0,1,Carabayllo
6563,1,11,0,0,1,1,0,1,Carabayllo
6564,1,31,0,1,1,0,0,1,Carabayllo
6566,1,18,0,1,1,0,0,1,Carabayllo
6567,1,16,0,0,1,1,0,1,Carabayllo
6568,1,16,0,0,1,1,0,1,Carabayllo
6569,1,16,0,0,1,1,0,1,Carabayllo
6571,1,46,0,1,1,0,1,1,Carabayllo
6572,1,10,0,0,1,1,0,1,Carabayllo
6579,1,28,0,0,1,0,0,1,Carabayllo
6580,1,32,0,1,1,0,0,1,Carabayllo
6581,1,11,0,0,1,1,0,1,Carabayllo
6582,1,8,0,0,1,1,0,1,Carabayllo
6584,1,38,0,1,1,0,0,1,Carabayllo
6586,1,47,0,1,1,0,1,1,Carabayllo
6587,1,47,0,1,1,0,1,1,Carabayllo
6588,1,32,0,0,1,0,0,1,Carabayllo
6589,1,39,0,0,1,0,1,1,Carabayllo
6590,1,12,0,0,1,0,0,1,Carabayllo
6591,1,37,0,0,1,0,0,0,Carabayllo
6592,1,7,0,0,1,0,0,0,Carabayllo
6593,1,7,0,0,1,0,0,0,Carabayllo
6594,1,29,0,1,1,0,1,1,Carabayllo
6598,1,22,0,1,1,0,0,1,Carabayllo
6599,1,22,0,1,1,0,0,1,Carabayllo
6600,1,22,0,1,1,0,0,1,Carabayllo
6602,1,6,0,0,1,1,0,1,Carabayllo
6603,1,6,0,0,1,1,0,1,Carabayllo
6604,1,45,0,1,1,0,0,1,Carabayllo
6605,1,39,0,1,1,0,1,1,Carabayllo
6606,1,16,0,0,1,1,0,1,Carabayllo
6607,1,6,0,0,1,1,0,1,Carabayllo
6608,1,23,0,1,1,0,0,1,Carabayllo
6611,1,70,0,0,1,0,0,1,Carabayllo
6612,1,35,0,0,1,0,0,1,Carabayllo
6613,1,50,0,1,1,0,1,1,Carabayllo
6614,1,37,0,1,1,0,1,1,Carabayllo
6615,1,46,0,1,1,0,0,1,Carabayllo
6616,1,15,0,0,1,0,0,1,Carabayllo
6619,1,4,0,0,1,1,0,1,Carabayllo
6620,1,4,0,0,1,1,0,1,Carabayllo
6629,1,22,0,1,1,0,0,1,Carabayllo
6630,0,4,0,0,1,1,0,0,Carabayllo
6631,0,4,0,0,1,1,0,0,Carabayllo
6632,0,4,0,0,1,1,0,0,Carabayllo
6633,0,29,0,1,1,0,0,0,Carabayllo
6634,1,16,0,0,1,1,0,1,Carabayllo
6635,1,13,0,0,1,1,0,1,Carabayllo
6636,1,13,0,0,1,1,0,1,Carabayllo
6639,1,82,0,0,1,0,0,1,Carabayllo
6640,1,82,0,0,1,0,0,1,Carabayllo
6643,1,18,0,0,1,0,0,1,Carabayllo
6644,1,78,0,0,1,0,1,1,Carabayllo
6645,1,10,0,0,1,1,0,1,Carabayllo
6646,1,17,0,0,1,0,0,1,Carabayllo
6647,1,17,0,0,1,0,0,1,Carabayllo
6648,1,12,0,0,1,1,0,1,Carabayllo
6649,1,12,0,0,1,1,0,1,Carabayllo
6650,1,12,0,0,1,1,0,1,Carabayllo
6651,1,12,0,0,1,1,0,1,Carabayllo
6723,1,55,0,1,1,0,1,1,Los Olivos
7905,1,36,0,1,1,0,0,1,Chaclacayo
7906,1,25,0,1,1,0,0,1,Chaclacayo
7907,1,5,0,0,1,1,0,1,Chaclacayo
7908,1,31,0,1,1,0,0,0,Ate
7909,1,40,0,1,1,0,0,1,Chaclacayo
7910,1,40,0,1,1,0,0,1,Chaclacayo
7917,1,35,0,1,1,0,0,1,Chaclacayo
7920,1,56,0,1,1,0,0,1,Chaclacayo
7921,1,16,0,0,1,1,0,1,Lurigancho
7922,1,39,0,1,1,0,1,1,Chaclacayo
7923,1,14,0,0,1,1,0,0,Chaclacayo
7924,1,14,0,0,1,1,0,0,Chaclacayo
7925,1,12,0,0,1,1,0,1,Chaclacayo
7926,1,38,0,0,1,0,1,0,Chaclacayo
7927,1,31,0,1,1,0,0,1,Chaclacayo
7928,1,34,0,1,1,0,0,1,Chaclacayo
7929,1,30,0,1,1,0,1,1,Chaclacayo
7930,1,10,0,0,1,0,0,1,Lurigancho
7931,1,10,0,0,1,0,0,1,Lurigancho
7932,1,15,0,0,1,1,0,1,Lurigancho
7933,1,10,0,0,1,0,0,1,Lurigancho
7936,1,33,1,1,1,0,0,0,Chaclacayo
7937,1,55,0,0,1,0,1,1,Chaclacayo
7938,1,69,0,1,1,0,1,0,Chaclacayo
7939,1,39,0,1,1,0,0,1,Chaclacayo
7940,1,39,0,1,1,0,0,1,Chaclacayo
7941,1,30,0,0,1,0,1,1,Chaclacayo
7942,0,58,0,1,1,0,0,1,Chaclacayo
7943,1,34,0,1,1,0,1,0,Chaclacayo
7944,1,82,0,1,1,0,0,1,Chaclacayo
7945,1,60,0,1,1,0,0,1,Chaclacayo
7946,1,21,0,1,1,0,0,1,Chaclacayo
7947,1,30,0,1,1,0,1,1,Chaclacayo
7949,1,2,0,0,1,0,0,1,Chaclacayo
7950,1,40,1,0,1,0,1,1,Chaclacayo
7951,1,37,0,1,1,0,1,1,Lurigancho
7952,1,13,0,0,1,0,0,1,Ate
7953,1,19,0,0,1,0,1,1,Ate
7954,1,46,0,1,1,0,0,1,Ate
7955,0,28,0,0,1,0,1,0,Chaclacayo
7956,0,28,0,0,1,0,1,0,Chaclacayo
7957,1,12,0,0,1,1,0,1,Chaclacayo
7958,1,12,0,0,1,1,0,1,Chaclacayo
7959,1,12,0,0,1,1,0,1,Chaclacayo
7960,1,52,0,1,1,0,1,0,Lurigancho
7961,1,52,0,1,1,0,1,0,Lurigancho
7962,1,52,0,1,1,0,1,0,Lurigancho
7963,1,10,0,0,1,1,0,1,Lurigancho
7964,1,15,0,0,1,1,0,1,Ate
7965,1,15,0,0,1,1,0,1,Ate
7966,1,15,0,0,1,1,0,1,Ate
7967,1,49,0,1,1,0,0,0,Chaclacayo
7968,1,13,0,0,1,1,0,1,Chaclacayo
7969,1,14,0,0,1,1,0,1,Chaclacayo
7970,1,33,0,1,1,0,1,1,Chaclacayo
7972,1,35,0,1,1,1,0,1,Chaclacayo
7973,1,15,0,0,1,1,0,1,Lurigancho
7974,1,15,0,0,1,0,0,1,Lurigancho
7975,1,11,0,0,1,1,0,1,Lurigancho
7976,1,76,0,1,1,0,1,1,Chaclacayo
7977,1,60,0,1,1,0,1,1,Chaclacayo
7978,1,60,0,1,1,0,1,1,Chaclacayo
7979,1,22,0,0,1,0,0,1,Chaclacayo
7980,1,41,0,1,1,0,1,1,Chaclacayo
7981,1,53,0,1,1,0,1,1,Chaclacayo
7984,1,44,0,1,1,0,0,1,Chaclacayo
7986,1,53,0,1,1,0,0,1,Chaclacayo
7987,1,79,0,1,1,0,0,1,Chaclacayo
7988,1,79,0,1,1,0,0,1,Chaclacayo
7989,1,25,0,1,1,0,1,1,Chaclacayo
7990,1,14,0,0,1,1,0,1,Chaclacayo
7991,1,40,0,1,1,0,0,0,Chaclacayo
7992,1,35,0,0,1,1,1,0,Chaclacayo
7993,1,27,0,1,1,0,1,1,Chaclacayo
7994,1,32,0,1,1,0,1,1,Lurigancho
7996,1,18,0,0,1,1,0,1,Chaclacayo
7997,1,23,0,1,1,0,0,1,Lurigancho
7998,1,23,0,1,1,0,1,1,Chaclacayo
7999,0,47,0,1,1,0,0,0,Lurigancho
8000,1,62,0,1,1,0,0,1,Chaclacayo
8001,1,40,0,1,1,0,1,1,Chaclacayo
8002,1,27,1,1,1,0,1,1,Lurigancho
8003,1,39,0,1,1,0,1,1,Ate
8004,0,21,0,0,1,0,0,0,Ate
8138,1,33,0,1,1,0,1,1,Santa Anita
8201,1,48,0,1,1,0,0,1,Santa Anita
8202,1,58,0,1,1,0,0,1,Santa Anita
8350,1,22,0,1,1,0,0,1,Puente Piedra
9554,1,13,0,0,1,1,0,0,Lurigancho
9555,1,13,0,0,1,1,0,0,Lurigancho
9556,1,13,0,0,1,1,0,0,Lurigancho
9559,1,7,0,0,1,1,0,0,Lurigancho
9560,1,7,0,0,1,1,0,0,Lurigancho
9561,1,10,0,0,1,1,0,1,Lurigancho
